Genes,DPD_BL,DPD_onc,DPD_risk,DPD_T2,DPD_Ta,DPD_immuno,DPD_immuno_0
AARS,0.0,0.0784796940621172,0.0,0.0,0.0,0.0,0.0
ABCB6,0.0,0.0271230605640214,-0.153918493258715,0.0,0.0,0.0,0.016004024701598986
ABCC5,0.0,0.00212036406345644,0.0,0.0,0.0,0.0,-0.006152703176650647
ABCF1,0.0,-0.028956378204495,-0.0264178676547051,0.0,0.0,0.0,-0.036126872283398496
ABCF3,0.0,0.0366679234307441,0.0,0.0,0.0,0.0,-0.004999345318001172
ABHD4,0.0,-0.00423477491673366,0.0446645460213655,0.0,0.0,0.0,0.01380435526225517
ABHD6,0.0,-0.0414317741517711,-0.0437389655467434,0.0,0.0,0.0,0.009543960704160526
ABL1,0.0,0.0219316453762474,0.0,0.0,0.0,0.0,0.019163050498834065
ACAA1,0.0,-0.000480105597442198,0.0,0.0,0.0,0.0,0.029179627389479195
ACAT2,0.0232697931975759,0.0231367849766746,0.0,0.0232697931975759,0.0923911424767901,0.0,0.005371502175704608
ACBD3,0.0,0.0246482031915844,0.0,0.0,0.0,0.0,0.014578683757633373
ACD,0.0,-0.00888086818033954,0.00599101272708991,0.0,0.0,0.0,-0.03431773467306447
ACLY,0.0,-0.00902402194106089,2.57131398327109e-05,0.0,0.0,0.0,0.0003279308530825412
ACOT9,0.0,0.0367086917929709,0.0,0.0,0.0,0.0,0.006618732899197544
ADAM10,0.0,0.016058448786535,0.0,0.0,0.0,0.0,0.04346818241619019
ADAT1,0.0,-0.0072007614603548,0.0,0.0,0.0,0.0,-0.05135617087490439
ADGRE5,0.0,-0.0600532366454879,0.0,0.0,0.0,0.0,0.05300733236390247
ADGRG1,0.0,-0.0610465961127511,0.0,0.0,0.0,0.0,0.04412703466195438
ADH5,0.0,-0.00543376641649895,0.0,0.0,0.0,0.0,0.0399163123374181
ADI1,0.0,0.000601638156802139,0.0,0.0,0.0,0.0,-0.05105610565672273
ADO,0.0,-0.00217400780335284,-0.0251712304896788,0.0,0.0,0.0,0.0017403020135981385
ADRB2,-0.0554086646835087,0.000915538221815937,0.0,-0.0554086646835087,0.0294826832105699,0.0,0.010817344441632985
AGL,0.0,-0.00383497055928017,0.0318702003106152,0.0,0.0,0.0,0.04493953918642785
AKAP8,0.0,-0.015486370286721,0.0,0.0,0.0,0.0,-0.06332213740436561
AKAP8L,0.0,0.00735134786936912,0.0,0.0,0.0,0.0,-0.026890612740927276
AKR7A2,0.0,0.0123558049819501,0.0,0.0,0.0,0.0,-0.06156236295231257
AKT1,0.0,-0.0418866024387889,-0.0194115535203554,0.0,0.0,0.0,-0.002988898345004412
ALAS1,0.0,-0.0588716904108772,0.0571362506099975,0.0,0.0,0.0,-0.008303017173547384
ALDH7A1,0.0,0.00878801547571522,-0.0175563587376559,0.0,0.0,0.0,0.026979386415971914
ALDOA,0.0,0.0122215986228807,0.0545671017563638,0.0,0.0,0.0,0.02308581110198541
ALDOC,-0.0390063486354494,0.00236131606822852,-0.0285065130218841,-0.0390063486354494,0.148254198611501,0.0,0.010959875050897187
AMDHD2,0.0,0.0113011873137618,-0.0410509326379239,0.0,0.0,0.0,-0.01767848429517504
ANKRD10,0.0,-0.0151325610855214,0.00402111952839506,0.0,0.0,0.0,-0.05842308524433211
ANO10,0.0,0.0144067570407197,0.0,0.0,0.0,0.0,0.016739239867301938
ANXA7,0.0,0.00601185519079378,0.0,0.0,0.0,0.0,0.008216651024036433
APBB2,0.0,-0.0319885095290789,-0.0349955173803702,0.0,0.0,0.0,0.017310781731685033
APOE,0.180037853883863,0.00771870971219807,0.0,0.180037853883863,0.096132144816226,0.0,-0.0011861929130513415
APP,0.0,0.0125453545513295,0.0,0.0,0.0,0.0,0.010276586786584286
APPBP2,0.0,-0.0536432884403951,0.00262109970641712,0.0,0.0,0.0,-0.04370564274634494
ARFIP2,0.0,-0.0206632672729057,0.107690510953615,0.0,0.0,0.0,-0.0076196649893229594
ARHGAP1,0.0,0.00578925177666822,-0.0546239854261992,0.0,0.0,0.0,-0.01056973903906908
ARHGEF12,0.0,-0.0036526863343467,0.0,0.0,0.0,0.0,0.008935452829806515
ARHGEF2,0.0,-0.00677139657233802,0.0,0.0,0.0,0.0,-0.026216583858029063
ARID4B,0.0,-0.0262439981304881,0.0,0.0,0.0,0.0,0.005202290810622568
ARID5B,0.0,-0.0159335843317568,0.0,0.0,0.0,0.0,0.03256495172848673
ARL4C,0.0,-0.00509582778511224,0.0,0.0,0.0,0.0,0.008608644808362658
ARNT2,0.0,-0.0433086346545907,0.0,0.0,0.0,0.0,-0.012294016649850173
ARPP19,0.0,0.0109291573720269,0.0,0.0,0.0,0.0,-0.04437606998726926
